x,y,xy,longitude,latitude
hp,121,hp121,-158.5732096,53.12780558
hp,123,hp123,-158.3741914,53.25345988
hp,125,hp125,-158.1751732,53.37874617
hp,127,hp127,-157.976155,53.50366495
hp,129,hp129,-157.7771368,53.6282167
hp,131,hp131,-157.5781186,53.7524019
hp,133,hp133,-157.3791005,53.87622106
hp,135,hp135,-157.1800823,53.99967468
hp,137,hp137,-156.9810641,54.12276327
hp,139,hp139,-156.7820459,54.24548734
hp,141,hp141,-156.5830277,54.3678474
hp,143,hp143,-156.3840096,54.48984399
hp,145,hp145,-156.1329526,54.63891999
hp,147,hp147,-155.9370142,54.75823547
hp,149,hp149,-155.7365859,54.87992536
hp,151,hp151,-155.5239091,55.00864566
hp,153,hp153,-155.3214487,55.13080245
hp,155,hp155,-155.1189883,55.25258662
hp,157,hp157,-154.9165278,55.37399875
hp,159,hp159,-154.7140674,55.49503944
hp,161,hp161,-154.511607,55.61570929
hp,163,hp163,-154.3091466,55.73600889
hp,165,hp165,-154.1066862,55.85593886
hp,167,hp167,-153.9042258,55.9754998
hp,169,hp169,-153.7017654,56.09469234
hp,171,hp171,-153.499305,56.21351709
hp,173,hp173,-153.2968446,56.33197468
hp,175,hp175,-153.0943842,56.45006574
hp,177,hp177,-152.8833224,56.57278432
hp,179,hp179,-152.6757418,56.69309156
hp,181,hp181,-152.4628766,56.81606365
hp,183,hp183,-152.2500115,56.93863348
hp,185,hp185,-152.0371463,57.06080181
hp,187,hp187,-151.8242811,57.1825694
hp,189,hp189,-151.6114159,57.30393703
hp,191,hp191,-151.3985507,57.42490545
hp,193,hp193,-151.1856855,57.54547545
hp,195,hp195,-150.9728203,57.6656478
hp,197,hp197,-150.7599551,57.7854233
hp,199,hp199,-150.5472872,57.90469227
hp,201,hp201,-150.3306084,58.02580482
hp,203,hp203,-150.1139297,58.14650864
hp,205,hp205,-149.897251,58.26680458
hp,207,hp207,-149.6805723,58.38669348
hp,209,hp209,-149.4653973,58.5053484
hp,211,hp211,-149.2372249,58.63073391
hp,213,hp213,-148.9987891,58.76096217
hp,215,hp215,-148.7715281,58.88483092
hp,217,hp217,-148.544267,59.00825758
hp,219,hp219,-148.317006,59.13124317
hp,221,hp221,-148.0897449,59.2537887
hp,223,hp223,-147.8624839,59.37589519
hp,225,hp225,-147.6352228,59.49756366
hp,227,hp227,-147.4079618,59.61879513
hp,229,hp229,-147.1807007,59.73959062
hp,231,hp231,-146.9534397,59.85995118
hp,233,hp233,-146.7261786,59.97987785
hp,235,hp235,-146.4989176,60.09937165
hp,237,hp237,-146.2716566,60.21843363
hp,239,hp239,-146.0443955,60.33706485
hp,241,hp241,-145.8171345,60.45526636
hr,121,hr121,-158.3555983,53.0037159
hr,123,hr123,-158.1565801,53.12973302
hr,125,hr125,-157.9575619,53.25538167
hr,127,hr127,-157.7585437,53.38066234
hr,129,hr129,-157.5595255,53.50557549
hr,131,hr131,-157.3605073,53.63012162
hr,133,hr133,-157.1614892,53.75430121
hr,135,hr135,-156.962471,53.87811477
hr,137,hr137,-156.7634528,54.00156279
hr,139,hr139,-156.5644346,54.12464579
hr,141,hr141,-156.3654164,54.24736428
hr,143,hr143,-156.1316476,54.37258346
hr,145,hr145,-155.9203799,54.51987249
hr,147,hr147,-155.7148097,54.64170038
hr,149,hr149,-155.5147654,54.76350699
hr,151,hr151,-155.3019978,54.89265454
hr,153,hr153,-155.100366,55.01466404
hr,155,hr155,-154.8987341,55.13630341
hr,157,hr157,-154.6971023,55.25757322
hr,159,hr159,-154.4954704,55.37847406
hr,161,hr161,-154.2938385,55.49900651
hr,163,hr163,-154.0922067,55.61917117
hr,165,hr165,-153.8905748,55.73896862
hr,167,hr167,-153.688943,55.85839948
hr,169,hr169,-153.4873111,55.97746434
hr,171,hr171,-153.2856793,56.09616381
hr,173,hr173,-153.0840474,56.2144985
hr,175,hr175,-152.8824156,56.33246904
hr,177,hr177,-152.6704786,56.45607701
hr,179,hr179,-152.4641063,56.57605425
hr,181,hr181,-152.2508133,56.69965613
hr,183,hr183,-152.0375204,56.82285342
hr,185,hr185,-151.8242274,56.94564688
hr,187,hr187,-151.6109345,57.06803726
hr,189,hr189,-151.3976416,57.19002535
hr,191,hr191,-151.1843486,57.3116119
hr,193,hr193,-150.9710557,57.43279769
hr,195,hr195,-150.7577627,57.55358351
hr,197,hr197,-150.5444698,57.67397013
hr,199,hr199,-150.3311768,57.79395836
hr,201,hr201,-150.1178839,57.91354898
hr,203,hr203,-149.9045909,58.03274279
hr,205,hr205,-149.691298,58.15154059
hr,207,hr207,-149.478005,58.26994319
hr,209,hr209,-149.2644128,58.38811669
hr,211,hr211,-149.0353782,58.51439552
hr,123,hr123,-148.7970459,58.64531985
hr,215,hr215,-148.5597801,58.77474593
hr,217,hr217,-148.3302239,58.89981414
hr,219,hr219,-148.1006676,59.02443142
hr,221,hr221,-147.8711114,59.1485988
hr,223,hr223,-147.6415552,59.27231734
hr,225,hr225,-147.4119989,59.39558807
hr,227,hr227,-147.1824427,59.51841206
hr,229,hr229,-146.9528865,59.64079035
